year,id,wrkstat,occ10,prestg10,marital,educ,age,degree,major1,biokids,sex,race,income16,rincom16,pres16,pres20,happy,health,natspac,natenvir,natheal,natcrime,reg16,yrlvmus,yrartxbt,yrmovie,artsout,yrcreat,yrrdg,yrtour,yrstmus,yrarmus,yrstpo,yrarpo,yrclass,yrpod,cvdlvmus,cvdart,cvdmov,cvdcreat,cvdrdg,cvdtour,cvdstmus,cvdarmus,cvdstpo,cvdarpo,cvdclass,cvdpod
2022,11,7,930,39,2,13,57,1,NA,2,2,1,19,0,1,1,2,2,NA,NA,NA,NA,2,1,2,1,1,NA,1,2,1,1,2,2,2,1,1,3,1,4,1,2,2,2,4,2,4,2
2022,12,2,4520,30,5,16,25,3,25,NA,2,1,16,16,NA,1,2,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,13,1,4700,38,1,12,35,1,NA,NA,2,1,24,18,NA,3,1,3,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,14,2,5120,45,5,12,36,1,NA,NA,2,1,2,1,NA,2,3,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,15,7,4050,21,5,13,41,1,NA,NA,2,1,NA,0,NA,2,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,16,5,3620,55,3,14,65,1,NA,NA,1,1,17,0,NA,1,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,17,7,NA,NA,5,13,20,1,NA,NA,2,3,11,0,NA,1,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,18,2,3255,64,1,16,80,3,36,7,2,1,24,16,1,1,1,2,NA,NA,NA,NA,2,1,1,1,2,2,1,2,1,1,2,2,1,1,1,2,2,4,1,2,1,1,4,4,2,1
2022,19,2,3600,48,5,11,35,0,NA,4,2,2,9,9,NA,NA,3,2,NA,NA,NA,NA,1,1,2,1,2,2,2,2,2,2,NA,2,2,2,4,4,2,4,2,4,4,4,2,2,2,4
2022,20,5,5860,32,5,12,89,1,NA,NA,2,1,17,0,NA,NA,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,21,7,9620,25,1,10,34,1,NA,3,2,3,18,3,NA,2,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
2022,22,8,3600,48,1,12,55,1,NA,5,2,2,10,0,NA,NA,3,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,23,5,5500,38,2,16,65,3,43,0,1,1,17,16,4,2,3,2,NA,NA,NA,NA,2,2,2,2,NA,2,2,2,2,1,2,2,2,2,4,4,4,4,4,4,4,2,4,4,4,4
2022,24,1,2010,54,1,14,60,2,42,3,2,2,21,18,3,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,25,2,4000,50,5,13,28,1,NA,2,1,1,1,1,3,2,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,26,5,5700,47,2,12,82,1,NA,3,2,1,16,0,2,2,2,2,NA,NA,NA,NA,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,4,3,2,1,4,2,4,4,4,4,4
2022,27,1,20,50,1,12,59,1,NA,1,1,3,26,22,1,1,2,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,28,5,4600,35,2,12,86,1,NA,NA,2,2,25,0,1,1,2,2,3,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,29,1,9830,62,1,16,36,3,70,NA,1,3,19,NA,3,1,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,30,5,5840,38,1,12,79,1,NA,NA,2,1,NA,0,2,2,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,31,1,5550,45,1,14,65,1,NA,NA,1,3,23,21,NA,1,2,2,1,1,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,32,8,NA,NA,5,12,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,33,5,3600,48,3,12,76,1,NA,NA,2,1,9,0,2,1,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,34,5,2010,54,3,16,72,3,9,NA,2,1,21,0,2,1,2,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,35,7,5110,40,2,13,62,1,NA,NA,2,1,15,0,1,1,2,2,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,36,2,5620,25,5,14,46,2,9,NA,1,1,18,11,2,2,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,37,5,4820,58,2,15,84,2,9,NA,1,1,19,0,2,NA,2,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,38,5,9620,25,1,12,79,1,NA,NA,1,1,18,0,2,2,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,39,1,2310,61,1,16,38,3,45,NA,2,1,26,21,2,1,2,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,40,1,4800,38,3,13,64,1,NA,2,1,1,23,23,1,1,2,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,41,1,350,64,1,16,49,3,36,6,2,1,25,24,2,2,2,2,2,1,1,1,2,2,2,2,NA,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
2022,42,5,5120,45,2,15,65,1,NA,0,2,1,5,NA,NA,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,43,4,4030,21,5,16,29,3,44,0,2,3,18,9,NA,NA,3,2,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,44,1,420,52,5,18,30,4,9,NA,1,2,NA,18,1,1,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,45,7,4110,31,5,14,30,1,NA,NA,2,2,1,0,NA,NA,2,3,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,46,1,3255,64,3,17,50,3,42,NA,2,2,23,23,1,1,3,2,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,47,1,5240,31,5,12,32,1,NA,NA,2,2,18,18,NA,NA,2,2,3,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,48,8,710,51,1,16,52,3,25,NA,1,1,26,26,3,2,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,49,5,20,50,1,19,89,4,NA,NA,1,1,14,0,1,1,2,2,2,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,50,7,725,49,1,14,70,1,NA,NA,2,1,25,25,1,1,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,51,1,5700,47,1,16,59,3,8,NA,2,1,26,17,1,1,1,2,NA,NA,NA,NA,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,4,4
2022,52,1,10,72,1,16,46,3,18,2,1,3,26,26,NA,NA,1,2,NA,NA,NA,NA,0,2,1,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,2,4,4,2,4,2,2,4
2022,53,1,3010,72,1,16,43,4,25,NA,2,3,26,NA,NA,NA,2,3,1,1,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,54,1,4710,48,1,12,60,1,NA,5,1,1,22,22,1,1,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,55,1,5165,37,1,12,38,1,NA,NA,1,1,26,26,NA,NA,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,56,7,4600,35,1,14,66,1,NA,3,1,1,NA,0,NA,NA,3,4,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,57,1,3930,34,3,14,28,1,NA,NA,2,2,16,16,NA,NA,NA,2,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,58,7,2320,64,5,13,20,1,NA,NA,2,2,6,6,NA,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,59,5,3600,48,5,14,62,1,NA,NA,2,1,10,0,1,1,3,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,60,4,4020,33,5,12,36,0,NA,NA,2,1,NA,0,1,NA,3,3,3,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,61,4,9120,35,5,10,49,0,NA,NA,2,1,15,15,1,2,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,62,2,4610,48,4,12,30,1,NA,NA,2,1,1,0,NA,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,63,5,8320,32,3,9,62,0,NA,NA,2,3,12,0,2,2,1,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,64,5,7700,50,3,4,70,0,NA,NA,2,NA,9,0,NA,NA,1,3,3,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,65,5,8965,35,2,8,73,0,NA,NA,2,3,8,8,NA,2,3,4,3,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,66,1,3500,69,5,12,34,0,NA,NA,2,2,NA,NA,NA,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,67,2,9140,26,5,16,47,3,82,NA,2,1,16,16,NA,1,3,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,68,2,4610,48,4,15,47,1,NA,NA,2,1,2,0,NA,NA,3,2,3,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,69,1,420,52,3,17,58,3,42,5,2,2,20,20,4,1,2,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,70,5,5100,24,3,12,82,1,NA,NA,2,2,11,0,1,1,3,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,71,1,NA,NA,2,12,67,1,NA,NA,1,2,16,NA,1,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,72,1,9410,30,4,14,41,1,NA,0,1,2,22,22,NA,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,73,1,2016,44,5,16,32,3,53,NA,2,2,26,0,1,1,2,3,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,74,5,3600,48,3,9,65,0,NA,3,2,2,16,14,1,1,2,2,3,2,1,1,0,1,2,2,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
2022,75,8,3645,51,5,18,57,4,55,0,2,2,11,0,1,1,3,4,NA,NA,NA,NA,2,1,2,2,1,1,1,1,1,1,1,1,1,1,3,4,4,3,4,3,3,3,1,1,3,3
2022,76,1,3600,48,3,12,55,1,NA,NA,1,2,19,19,1,1,3,3,NA,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,77,5,5120,45,2,9,86,0,NA,NA,2,2,NA,13,1,1,3,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,78,1,NA,NA,5,20,31,3,70,NA,2,2,17,17,NA,1,2,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,79,7,5860,32,3,12,62,1,NA,2,2,1,18,0,NA,2,1,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,80,1,3645,51,5,17,23,3,8,0,2,2,NA,NA,1,1,NA,3,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,81,1,9120,35,1,16,NA,3,NA,NA,2,2,22,19,1,1,1,1,3,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,82,1,4840,43,5,14,22,1,NA,NA,2,2,16,0,NA,1,3,3,3,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,83,1,4760,31,1,15,44,2,16,NA,1,1,24,20,1,1,2,2,1,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,84,1,710,51,5,15,24,1,NA,NA,2,3,16,0,NA,NA,2,2,3,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,85,6,4710,48,5,18,37,4,73,NA,1,2,23,0,1,1,2,2,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,86,1,2850,67,3,20,79,4,51,NA,1,1,23,22,1,1,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,87,6,NA,NA,5,15,22,1,NA,0,1,2,11,0,NA,1,1,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,88,7,2630,46,5,16,34,3,67,NA,1,3,20,20,1,1,3,3,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,89,1,120,53,5,16,26,3,28,NA,1,2,23,23,1,1,2,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,90,1,1020,60,5,17,29,4,18,NA,1,NA,18,0,1,1,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,91,1,735,57,1,16,36,3,81,NA,2,1,26,21,1,1,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,92,2,2600,46,5,15,29,1,NA,0,2,2,NA,NA,1,1,2,1,3,1,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,93,7,6260,28,5,12,47,1,NA,NA,1,3,22,20,2,2,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,94,1,2010,54,5,16,58,3,82,0,2,2,19,19,1,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,95,2,2750,51,5,16,46,3,5,NA,1,1,18,17,1,1,3,2,2,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,96,1,4850,45,5,16,29,3,12,NA,2,3,22,22,1,1,2,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,97,1,5000,46,1,16,46,1,NA,NA,2,1,20,19,2,2,2,2,NA,NA,NA,NA,2,1,1,2,1,2,1,1,1,1,2,2,2,2,1,1,4,4,2,1,2,2,4,4,4,4
2022,98,5,1010,63,4,14,71,2,14,2,1,1,NA,0,1,1,1,2,NA,NA,NA,NA,0,1,2,1,1,2,2,2,1,1,2,2,2,2,3,4,3,3,4,4,1,1,4,4,2,4
2022,99,1,5260,36,1,16,28,3,42,NA,1,3,17,0,1,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,100,1,1006,65,5,16,38,3,14,NA,2,1,NA,0,2,2,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,101,1,4710,48,5,14,25,2,70,NA,1,2,19,0,NA,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,102,1,20,50,5,16,34,3,8,0,2,1,20,20,1,1,2,2,NA,NA,NA,NA,2,2,2,2,NA,2,1,2,2,1,2,2,1,2,1,2,2,4,1,3,3,2,4,4,3,4
2022,103,2,4620,35,5,14,26,2,1,3,2,3,12,12,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,4,1,2,3,3,2,2,3,4
2022,104,1,4030,21,4,16,63,3,63,NA,1,1,20,16,2,2,3,3,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,105,2,2200,74,1,16,82,3,33,NA,1,1,19,0,2,2,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,106,1,2310,61,5,18,47,4,16,0,1,1,24,23,2,2,2,2,1,2,1,1,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
2022,107,1,3255,64,1,16,40,3,9,2,1,1,26,26,NA,NA,2,2,1,1,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,4,2,4,2,4,4,4,4,4,4,4
2022,108,5,1360,65,1,17,71,3,18,NA,1,3,24,0,2,2,2,2,2,1,2,1,0,1,2,1,2,2,2,1,2,1,2,2,2,2,1,4,1,4,4,2,2,2,4,4,4,4
